#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENST00000546192.1	chr12	+	122203680	122208945	122206326	122207388	2	122203680,122206317,	122203801,122208945,	Q9C0J1	uc001uby.4
ENST00000324189.5	chr12	+	122203708	122208952	122204618	122207388	3	122203708,122204521,122206317,	122203801,122204684,122208952,	Q9C0J1	uc001ubx.5
ENST00000545141.1	chr12	+	122203728	122208952	122203728	122203728	3	122203728,122207695,122208479,	122203801,122207812,122208952,		uc058uld.1
ENST00000645606.1	chr12	-	122207661	122227534	122226429	122226564	7	122207661,122216487,122216758,122218265,122224511,122225964,122227355,	122208577,122216584,122216869,122218397,122224644,122226653,122227534,	A0A2R8Y4M2	uc010tab.5
ENST00000443649.8	chr12	-	122207662	122227534	122208380	122226014	7	122207662,122216487,122216758,122218265,122224511,122225964,122227355,	122208577,122216584,122216869,122218397,122224644,122226653,122227534,	Q9NR28	uc285klb.1
ENST00000464942.7	chr12	-	122207667	122226052	122208380	122226014	6	122207667,122216487,122216758,122218265,122224511,122225964,	122208577,122216584,122216869,122218397,122224644,122226052,	Q9NR28	uc285klc.1
ENST00000650715.1	chr12	-	122207667	122227456	122208380	122226014	7	122207667,122216487,122216758,122218265,122224511,122225964,122227355,	122208577,122216584,122216869,122218397,122224644,122226653,122227456,	Q9NR28	uc287ghn.1
ENST00000353548.11	chr12	-	122207668	122226052	122208380	122226014	5	122207668,122216487,122216758,122224511,122225964,	122208577,122216584,122216869,122224644,122226052,	Q9NR28	uc031zqe.3
ENST00000644227.1	chr12	-	122207694	122226033	122218360	122226014	7	122207694,122216487,122216758,122218265,122220529,122224511,122225964,	122208577,122216584,122216869,122218397,122220627,122224644,122226033,	A0A2R8Y5H2	uc285kld.1
ENST00000644509.1	chr12	-	122207766	122226062	122207766	122207766	5	122207766,122216487,122216758,122218265,122224644,	122208577,122216584,122216869,122218397,122226062,		uc031zqa.3
ENST00000342392.3	chr12	-	122207773	122226052	122224657	122226014	6	122207773,122216487,122216758,122218265,122224644,122225964,	122208577,122216584,122216869,122218397,122224748,122226052,	F5GXT8	uc058ulh.1
ENST00000535844.1	chr12	-	122207778	122266423	122218374	122266408	16	122207778,122216487,122216758,122218265,122232325,122232799,122235785,122238586,122239877,122242381,122244568,122249870,122261260,122263571,122264133,122266306,	122208577,122216584,122216869,122218397,122232427,122232968,122235923,122238724,122239945,122242508,122244762,122250045,122261447,122263699,122264199,122266423,	H3BMM5	uc058uli.1
ENST00000645569.1	chr12	-	122207787	122226022	122207787	122207787	5	122207787,122216487,122216758,122218265,122224511,	122208577,122216584,122216869,122218397,122226022,		uc285kle.1
ENST00000267169.11	chr12	-	122207793	122226039	122208556	122226014	7	122207793,122209772,122216487,122216758,122218265,122224511,122225964,	122208577,122209858,122216584,122216869,122218397,122224644,122226039,	A0A2U3TZH2	uc285klf.1
ENST00000489781.3	chr12	-	122207803	122217789	122207803	122207803	3	122207803,122216487,122216758,	122208577,122216584,122217789,		uc285klg.1
ENST00000540535.6	chr12	-	122207818	122226022	122224608	122226014	6	122207818,122216487,122216758,122218265,122224511,122225825,	122208577,122216584,122216869,122218397,122224644,122226022,	F5GX50	uc058ulm.2
ENST00000642640.1	chr12	-	122207841	122222556	122207841	122207841	5	122207841,122216487,122216758,122218265,122220529,	122208577,122216584,122216869,122218397,122222556,		uc285klh.1
ENST00000439489.6	chr12	-	122208315	122218289	122209706	122218289	5	122208315,122209696,122216487,122216758,122218265,	122208577,122209858,122216584,122216869,122218289,	H7BZQ7	uc285kli.1
ENST00000541273.6	chr12	-	122208409	122226039	122224657	122226014	5	122208409,122216487,122216758,122224644,122225964,	122208577,122216584,122216869,122224748,122226039,	F5GXT8	uc058ulk.2
ENST00000474004.6	chr12	-	122208411	122218695	122208411	122208411	4	122208411,122216487,122216758,122218265,	122208577,122216584,122216869,122218695,		uc058ull.2
ENST00000541656.6	chr12	-	122208505	122225973	122224608	122225973	6	122208505,122216487,122216758,122218265,122224511,122225786,	122208577,122216584,122216869,122218397,122224644,122225973,	F5GYH3	uc058uln.2
ENST00000446652.5	chr12	-	122208710	122226009	122208710	122226009	6	122208710,122216487,122216758,122218265,122224511,122225964,	122208765,122216584,122216869,122218397,122224644,122226009,	H7BZK7	uc058ulo.1
ENST00000485724.1	chr12	-	122216560	122227421	122216560	122216560	6	122216560,122216758,122218265,122218681,122224511,122227355,	122216584,122216869,122218397,122218775,122224644,122227421,		uc058ulq.2
ENST00000475784.1	chr12	-	122226215	122227533	122226429	122226564	2	122226215,122227355,	122226568,122227533,	A0A2R8Y4M2	uc058ulr.2
